"","sample_size","variance","mean","upper_bound","lower_bound"
"1",10,0.0813945791527313,0.490166666666667,0.037375,0.945875
"2",20,0.0821449264214047,0.4342,0.03225,0.9325
"3",30,0.0902216376811594,0.425966666666667,0.02975,0.935
"4",40,0.0783321903567447,0.358316666666667,0.0125,0.8665
"5",50,0.0783089450250836,0.334675,0.0075,0.89275
"6",60,0.0815170515607581,0.348116666666667,0.009875,0.882625
"7",70,0.0599182605908584,0.271516666666667,0.002375,0.782625
"8",80,0.0728877711120401,0.299975,0.005,0.838375
"9",90,0.0672037107023411,0.2874,0.0025,0.792875
"10",100,0.0603709901755853,0.256725,0.0025,0.76375
"11",120,0.0507352883918618,0.209341666666667,0.0025,0.675625
"12",140,0.0344695609671126,0.161508333333333,0,0.548
"13",160,0.0298800124721293,0.123591666666667,0,0.49875
"14",180,0.0317676167781494,0.133816666666667,0,0.5245
"15",200,0.0280371931438127,0.12335,0,0.458250000000001
"16",220,0.0227479834866221,0.103925,0,0.47775
"17",240,0.0136290035535117,0.078575,0,0.332875
"18",260,0.0149244080267559,0.0722,0,0.332625
"19",280,0.00848701748885173,0.0549583333333333,0,0.262625
"20",300,0.0111630557413601,0.0597333333333333,0,0.292625
"21",350,0.00424268143812709,0.03505,0,0.172875
"22",400,0.00559104487179487,0.0343166666666667,0,0.200125
"23",450,0.00262381626254181,0.020975,0,0.097625
"24",500,0.00337557162764771,0.0192833333333333,0,0.1225
"25",550,0.00137694230769231,0.01265,0,0.0875
"26",600,0.00080641276477146,0.00881666666666667,0,0.04
"27",700,0.000124858625975474,0.00269166666666667,0,0.015
"28",800,0.000122272575250836,0.0026,0,0.01
"29",900,3.90158862876254e-05,0.00135,0,0.005
"30",1000,1.0373745819398e-05,0.00045,0,0
"31",1100,3.14771460423634e-06,0.000266666666666667,0,0
"32",1200,3.69286510590858e-07,8.33333333333333e-05,0,0
"33",1300,4.15273132664437e-08,1.66666666666667e-05,0,0
"34",1400,8.33333333333333e-08,1.66666666666667e-05,0,0
"35",1500,3.33333333333333e-07,3.33333333333333e-05,0,0
"36",1800,2.08333333333333e-08,8.33333333333333e-06,0,0
"37",2000,0,0,0,0
"38",5000,0,0,0,0
