"","sample_size","variance","mean","upper_bound","lower_bound"
"1",10,0.0831818074136009,0.499083333333333,0.05225,0.955
"2",20,0.0872158642697882,0.511283333333333,0.059875,0.9675
"3",30,0.0830287465858417,0.501891666666667,0.04975,0.93025
"4",40,0.085989255574136,0.505816666666667,0.049875,0.9575
"5",50,0.0776333734671126,0.513066666666667,0.062375,0.937625
"6",60,0.0884807257525084,0.4936,0.05,0.940125
"7",70,0.0845719104654404,0.496841666666667,0.049875,0.955375
"8",80,0.083267905448718,0.502408333333333,0.04975,0.947875
"9",90,0.0825915777591973,0.53895,0.057375,0.955
"10",100,0.0850982616360089,0.505891666666667,0.047375,0.945125
"11",120,0.0797046379598662,0.45255,0.0425,0.925375
"12",140,0.0850903519370123,0.491558333333333,0.05,0.9525
"13",160,0.0945899595875139,0.493583333333333,0.05475,0.9525
"14",180,0.080580495819398,0.48985,0.049625,0.942875
"15",200,0.0838676084169454,0.514816666666667,0.042375,0.962625
"16",220,0.0840692918060201,0.51235,0.04475,0.957625
"17",240,0.088171345039019,0.506533333333333,0.05,0.96
"18",260,0.0850783954152731,0.535108333333333,0.08975,0.955125
"19",280,0.0848840035535117,0.502575,0.039875,0.955125
"20",300,0.0829747421962096,0.493083333333333,0.057375,0.933125
"21",350,0.0771716980908584,0.495691666666667,0.052375,0.935
"22",400,0.0896406863851728,0.487608333333333,0.052375,0.947625
"23",450,0.081437963977146,0.482741666666667,0.0425,0.935375
"24",500,0.0862758570234114,0.49375,0.0375,0.942875
"25",550,0.081987322951505,0.510175,0.057375,0.925125
"26",600,0.0813121245122631,0.480558333333333,0.03975,0.93275
"27",700,0.0824234214046823,0.4982,0.034875,0.94775
"28",800,0.0818120804765886,0.523425,0.04975,0.955
"29",900,0.0786244774247492,0.54575,0.062375,0.955
"30",1000,0.0873963335423634,0.507408333333333,0.062375,0.945125
"31",1100,0.0834982532748049,0.485108333333333,0.0545,0.93275
"32",1200,0.0721231978818283,0.497433333333333,0.09225,0.9275
"33",1300,0.0777123101309922,0.504041666666667,0.0875,0.955125
"34",1400,0.0842690666109253,0.474716666666667,0.029625,0.9175
"35",1500,0.0847123676142698,0.475083333333333,0.0525,0.952875
"36",1800,0.0814914712931996,0.480016666666667,0.032375,0.94
"37",2000,0.078297963977146,0.498658333333333,0.054875,0.960125
"38",5000,0.0792288000975474,0.494841666666667,0.045,0.95025
