"","sample_size","variance","mean","upper_bound","lower_bound"
"1",10,0.0763260654264214,0.513725,0.072375,0.94275
"2",20,0.0894317054069119,0.482983333333333,0.054375,0.95525
"3",30,0.0786244071209588,0.495391666666667,0.06225,0.9325
"4",40,0.0846108703316611,0.453608333333333,0.0225,0.907875
"5",50,0.0862082309782609,0.456975,0.034875,0.947625
"6",60,0.0861128301978818,0.410991666666667,0.0275,0.928125
"7",70,0.0733288249721293,0.405433333333333,0.0225,0.865375
"8",80,0.0845491345457079,0.424258333333333,0.0225,0.87325
"9",90,0.0792036789297659,0.419,0.0275,0.910125
"10",100,0.0744007995401338,0.387875,0.032375,0.895
"11",120,0.0803540676560758,0.378658333333333,0.0175,0.8975
"12",140,0.0759942850473802,0.363241666666667,0.0125,0.878125
"13",160,0.0722879807692308,0.38325,0.017125,0.84625
"14",180,0.074792065983835,0.358441666666667,0.015,0.8775
"15",200,0.0690904717809365,0.334225,0.01,0.84525
"16",220,0.0602117599637681,0.311991666666667,0.0175,0.763375
"17",240,0.0575630225055741,0.282491666666667,0.01,0.744125
"18",260,0.0586618597408027,0.274025,0.009875,0.79575
"19",280,0.0635126824832776,0.317575,0.012375,0.815125
"20",300,0.0523888987597547,0.257458333333333,0.009875,0.72575
"21",350,0.0497154239130435,0.25255,0.012375,0.735375
"22",400,0.0456111471571906,0.2133,0.0075,0.677625
"23",450,0.0394104445373467,0.202416666666667,0.004875,0.621375
"24",500,0.0328418216276477,0.186466666666667,0.0025,0.562
"25",550,0.028906065983835,0.169341666666667,0.0025,0.510875
"26",600,0.0231982215022297,0.139958333333333,0.0025,0.467625
"27",700,0.0256888837095875,0.140658333333333,0,0.4785
"28",800,0.0190635821488294,0.111775,0,0.400125
"29",900,0.0114494841137124,0.08165,0,0.297875
"30",1000,0.0107334570791527,0.0727666666666667,0,0.276
"31",1100,0.00703036510590858,0.0646666666666667,0,0.247625
"32",1200,0.00733427668617614,0.0598416666666667,0,0.25525
"33",1300,0.00577627508361204,0.04425,0,0.20575
"34",1400,0.00385309531772575,0.0402,0,0.17775
"35",1500,0.00327189966555184,0.0347,0,0.15525
"36",1800,0.000932915273132664,0.0178333333333333,0,0.092625
"37",2000,0.00078292495819398,0.015575,0,0.0830000000000001
"38",5000,5.52605908584169e-07,0.000108333333333333,0,0
