"","sample_size","variance","mean","upper_bound","lower_bound"
"1",10,0.0830358625975474,0.532583333333333,0.05975,0.937625
"2",20,0.0865069271878484,0.509091666666667,0.062375,0.9625
"3",30,0.0870549650919732,0.481075,0.035,0.945375
"4",40,0.0895244077480491,0.476416666666667,0.049625,0.9525
"5",50,0.081821676351728,0.466258333333333,0.035,0.947625
"6",60,0.0802070107998885,0.432158333333333,0.034625,0.907625
"7",70,0.0848393182831661,0.456266666666667,0.039875,0.9425
"8",80,0.0780846387959866,0.4309,0.037375,0.90775
"9",90,0.0806210440356745,0.433133333333333,0.029875,0.89275
"10",100,0.0799727410117057,0.389075,0.025,0.910375
"11",120,0.0810141335005574,0.405283333333333,0.027375,0.90275
"12",140,0.0742601309921962,0.369333333333333,0.0225,0.84825
"13",160,0.0697524439102564,0.352041666666667,0.0125,0.817625
"14",180,0.0668407313266444,0.335566666666667,0.02,0.832625
"15",200,0.0771896644370123,0.344533333333333,0.012375,0.870125
"16",220,0.070896447254738,0.313608333333333,0.0125,0.805625
"17",240,0.0637478870540691,0.329458333333333,0.012375,0.80875
"18",260,0.0597056853400223,0.287483333333333,0.0075,0.767625
"19",280,0.0725086490384615,0.313025,0.01,0.860375
"20",300,0.0535785459169454,0.264608333333333,0.0075,0.757875
"21",350,0.0509607594063545,0.238825,0.004875,0.71275
"22",400,0.0401820356744705,0.202233333333333,0.0025,0.605125
"23",450,0.0388155893952062,0.204841666666667,0.005,0.602125
"24",500,0.0377351640886288,0.188625,0.0025,0.6305
"25",550,0.0321112433110368,0.16745,0.0025,0.547875
"26",600,0.0335248065774805,0.163533333333333,0.0025,0.57775
"27",700,0.0232150777591973,0.12835,0.0025,0.4905
"28",800,0.0203371819955407,0.111183333333333,0,0.4085
"29",900,0.0106624283026756,0.080225,0,0.3525
"30",1000,0.00944833298494983,0.067125,0,0.255125
"31",1100,0.00549179006410256,0.0564416666666667,0,0.208
"32",1200,0.00548601581661093,0.0533416666666667,0,0.215375
"33",1300,0.00347663015607581,0.0449833333333333,0,0.1675
"34",1400,0.00338610444537347,0.0368583333333333,0,0.13775
"35",1500,0.00145779675306577,0.0241583333333333,0,0.1075
"36",1800,0.000590786719620959,0.0143916666666667,0,0.0675
"37",2000,0.000481985716276477,0.0110083333333333,0,0.045125
"38",5000,3.88726309921962e-07,9.16666666666667e-05,0,0
