"","n_perm","variance","mean","upper_bound","lower_bound"
"1",10,0.00871278195488722,0.903,0.7,1
"2",20,0.00434572368421053,0.904625,0.8,1
"3",30,0.00277335004177109,0.9005,0.8,0.966666666666667
"4",40,0.00239974937343358,0.9,0.8,0.975
"5",50,0.00185101754385965,0.8969,0.82,0.96
"6",60,0.00149468114731273,0.904333333333333,0.85,0.966666666666667
"7",70,0.00130652652038259,0.902214285714286,0.842857142857143,0.957142857142857
"8",80,0.000995628720238095,0.90296875,0.85,0.95
"9",90,0.00112371979331044,0.900833333333333,0.844444444444444,0.955555555555556
"10",100,0.000897634085213033,0.9019,0.85,0.95
"11",110,0.000752902400629674,0.900113636363636,0.854545454545454,0.945454545454545
"12",120,0.000759189640768588,0.900833333333333,0.858333333333333,0.95
"13",130,0.00071271522000267,0.899884615384615,0.853846153846154,0.938461538461538
"14",140,0.000641097642064344,0.899785714285714,0.857142857142857,0.942857142857143
"15",150,0.000569026733500418,0.901083333333333,0.86,0.94
"16",160,0.000490984296679198,0.90053125,0.8625,0.9375
"17",170,0.000494293692709282,0.901029411764706,0.864705882352941,0.935294117647059
"18",180,0.000447464339862001,0.901555555555556,0.861111111111111,0.933333333333333
"19",190,0.000457888314970251,0.902065789473684,0.863157894736842,0.936842105263158
"20",200,0.00040833944235589,0.9022625,0.865,0.935
"21",210,0.000403150591899249,0.902869047619048,0.871428571428571,0.933333333333333
"22",220,0.000428523659354999,0.901102272727273,0.863636363636364,0.931818181818182
"23",230,0.000379879756101028,0.902782608695652,0.869565217391304,0.934782608695652
"24",240,0.000355766151489836,0.901208333333333,0.866666666666667,0.933333333333333
"25",250,0.000356,0.9015,0.868,0.932
"26",260,0.000376234131927452,0.899663461538462,0.869230769230769,0.934615384615385
"27",270,0.000314209305843484,0.900509259259259,0.87037037037037,0.92962962962963
"28",280,0.000300710641399417,0.901375,0.871428571428571,0.928571428571429
"29",290,0.000299994859324292,0.900698275862069,0.872413793103448,0.931034482758621
"30",300,0.000281491993873573,0.902441666666667,0.873333333333333,0.926666666666667
"31",310,0.00029037936933906,0.899862903225806,0.870967741935484,0.925806451612903
"32",320,0.000287723153097588,0.9029453125,0.87796875,0.93125
"33",330,0.000256282349583785,0.901590909090909,0.875757575757576,0.927272727272727
"34",340,0.000262496151711458,0.900713235294118,0.873529411764706,0.926470588235294
"35",350,0.000234187458442023,0.900707142857143,0.874285714285714,0.922857142857143
"36",360,0.000269998878368761,0.901875,0.875,0.927916666666667
"37",370,0.000250223394497932,0.902344594594595,0.875675675675676,0.92972972972973
"38",380,0.000234837613424142,0.900828947368421,0.876315789473684,0.926315789473684
"39",390,0.000218111188556533,0.901628205128205,0.879358974358974,0.925641025641026
"40",400,0.000209736489661654,0.90133125,0.877375,0.925
"41",410,0.000213845142302514,0.901829268292683,0.878048780487805,0.924390243902439
"42",420,0.000209093844304639,0.901684523809524,0.876190476190476,0.926190476190476
"43",430,0.000203737575415011,0.901372093023256,0.876744186046512,0.923372093023256
"44",440,0.000223925483906046,0.900767045454545,0.875,0.922727272727273
"45",450,0.000188977845849191,0.900861111111111,0.877777777777778,0.922222222222222
"46",460,0.000188614228150717,0.901516304347826,0.880434782608696,0.923913043478261
"47",470,0.000180124343225651,0.901324468085106,0.880851063829787,0.923404255319149
"48",480,0.000204509510538499,0.899463541666667,0.875,0.920833333333333
"49",490,0.000171054223438647,0.902025510204082,0.879591836734694,0.922448979591837
"50",500,0.000183860426065163,0.901565,0.878,0.922
"51",510,0.000175043312818763,0.901700980392157,0.87843137254902,0.923529411764706
"52",520,0.00017884717340689,0.900721153846154,0.878846153846154,0.923076923076923
"53",530,0.000161448477013109,0.901981132075472,0.881037735849057,0.920849056603774
"54",540,0.000160373412956259,0.901305555555556,0.877777777777778,0.922222222222222
"55",550,0.000163117525218004,0.90065,0.879909090909091,0.920090909090909
"56",560,0.000130234307068692,0.9015625,0.883928571428571,0.919642857142857
"57",570,0.000163929194330856,0.901767543859649,0.880614035087719,0.921140350877193
"58",580,0.000173530865659988,0.901573275862069,0.879310344827586,0.924137931034483
"59",590,0.000167368129458953,0.901326271186441,0.879661016949153,0.923728813559322
"60",600,0.000161079347674742,0.9015625,0.88,0.923333333333333
"61",610,0.000146122074199204,0.900594262295082,0.881967213114754,0.921311475409836
"62",620,0.00013203534330102,0.901693548387097,0.882258064516129,0.921048387096774
"63",630,0.000130115396200251,0.900186507936508,0.880952380952381,0.919047619047619
"64",640,0.000125668113153979,0.9027265625,0.885859375,0.9203125
"65",650,0.000127070798297519,0.900703846153846,0.881538461538461,0.918461538461538
"66",660,0.000143510736782268,0.901481060606061,0.88030303030303,0.91969696969697
"67",670,0.000124798016426676,0.900574626865672,0.882089552238806,0.917985074626866
"68",680,0.000127665563129276,0.902580882352941,0.883823529411765,0.920661764705882
"69",690,0.000157039047945425,0.900036231884058,0.881014492753623,0.918840579710145
"70",700,0.000121802669940157,0.902185714285714,0.884285714285714,0.92
"71",710,0.000129288592936417,0.899954225352113,0.88169014084507,0.919718309859155
"72",720,0.000124182937571552,0.900829861111111,0.881944444444444,0.919444444444444
"73",730,0.00011532659759739,0.901794520547945,0.88486301369863,0.919246575342466
"74",740,0.000120743604811884,0.901094594594595,0.881081081081081,0.916216216216216
"75",750,0.000126803052074631,0.899946666666667,0.88,0.918666666666667
"76",760,0.000115919950499518,0.900598684210526,0.882894736842105,0.918486842105263
"77",770,0.000126538295054553,0.901269480519481,0.883116883116883,0.919480519480519
"78",780,0.000121498643057347,0.901916666666667,0.884615384615385,0.919230769230769
"79",790,0.000103647036193271,0.900835443037975,0.883544303797468,0.917784810126582
"80",800,0.000113445762844611,0.90120625,0.88375,0.91875
"81",810,0.000110597242611177,0.901194444444444,0.883888888888889,0.917345679012346
"82",820,0.000105298045828432,0.901048780487805,0.885365853658537,0.917073170731707
"83",830,0.000115639939957311,0.901466867469879,0.88433734939759,0.919277108433735
"84",840,0.000109936609877869,0.900729166666667,0.882142857142857,0.91672619047619
"85",850,0.000117731829573935,0.901014705882353,0.882352941176471,0.918823529411765
"86",860,0.000106117646739889,0.901116279069767,0.883720930232558,0.918662790697674
"87",870,9.84532609102357e-05,0.901775862068966,0.886149425287356,0.918390804597701
"88",880,0.000110230306849251,0.901741477272727,0.882954545454545,0.918181818181818
"89",890,0.000106838860501842,0.901935393258427,0.885393258426966,0.919157303370786
"90",900,0.000101627765401157,0.901286111111111,0.884444444444444,0.917833333333333
"91",910,9.66996346075912e-05,0.901774725274725,0.88456043956044,0.917582417582418
"92",920,9.19447721382852e-05,0.901684782608696,0.886902173913043,0.918478260869565
"93",930,0.000101738325174713,0.900728494623656,0.883870967741936,0.917204301075269
"94",940,9.43388065001798e-05,0.901143617021277,0.885106382978723,0.917021276595745
"95",950,9.53519255201716e-05,0.901836842105263,0.885210526315789,0.917894736842105
"96",960,9.65451756017648e-05,0.901809895833333,0.88640625,0.91875
"97",970,0.000109436194109463,0.900992268041237,0.883505154639175,0.916546391752577
"98",980,9.98085527751072e-05,0.901099489795918,0.884642857142857,0.916377551020408
"99",990,9.30451831036626e-05,0.901636363636364,0.883838383838384,0.916161616161616
"100",1000,8.91802944862157e-05,0.9016125,0.88595,0.91605
